index, f_val
188, 0.000000
189, 0.477931
190, 0.468073
191, 0.000000
192, 0.571800
193, 0.000000
194, 0.348245
195, 0.000000
196, 0.537959
197, 0.489916
198, 0.669419
199, 0.428677
200, 0.562143
201, 0.000000
202, 0.521961
203, 0.000000
204, 0.810952
205, 0.000000
206, 0.188002
207, 0.825168
208, 0.000000
209, 0.331975
210, 0.139207
211, 0.000000
212, 0.474351
213, 0.000000
214, 0.268645
215, 0.000000
216, 0.192759
217, 0.696436
218, 0.000000
219, 0.228549
220, 0.264436
221, 0.000000
222, 0.413283
223, 0.000000
224, 0.000000
225, 0.000000
226, 0.252635
227, 0.803646
228, 0.086589
229, 0.241485
230, 0.488219
231, 0.000000
232, 0.389637
233, 0.000000
234, 0.000000
235, 0.000000
236, 0.063381
237, 0.961167
238, 0.400239
239, 0.358612
240, 0.153296
241, 0.000000
242, 0.520680
243, 0.000000
244, 0.312966
245, 0.000000
246, 0.055997
247, 0.703556
248, 0.000000
249, 0.556495
250, 0.000000
251, 0.000000
252, 0.640624
253, 0.000000
254, 0.228102
255, 0.000000
256, 0.279700
257, 0.323695
258, 0.188973
259, 0.653569
260, 0.247869
261, 0.000000
262, 0.982117
263, 0.000000
264, 0.000000
265, 0.000000
266, 0.000000
267, 0.604776
268, 0.000000
269, 0.769669
270, 0.901420
271, 0.000000
272, 1.157721
273, 0.000000
274, 0.000000
275, 0.000000
276, 0.000000
277, 0.896457
278, 0.639136
279, 0.764378
280, 0.354303
281, 0.000000
282, 1.212211
283, 0.000000
284, 0.000000
285, 0.000000
286, 0.000000
287, 1.348397
288, 0.000000
289, 0.423314
290, 0.405895
291, 0.000000
292, 1.116192
293, 0.000000
294, 0.000000
295, 0.000000
296, 0.000000
297, 1.731662
298, 0.000000
299, 0.558240
300, 0.047661
301, 0.000000
302, 1.014685
303, 0.000000
304, 0.000000
305, 0.000000
306, 0.165586
307, 2.714217
308, 0.192244
309, 0.507653
310, 0.248380
311, 0.000000
312, 1.012022
313, 0.000000
314, 0.000000
315, 0.000000
316, 0.461884
317, 3.029835
318, 0.000000
319, 0.550593
320, 0.000000
321, 0.000000
322, 0.994112
323, 0.000000
324, 0.000000
325, 0.000000
326, 0.614257
327, 3.375426
328, 0.330622
329, 0.424030
330, 0.114081
331, 0.000000
332, 1.013677
333, 0.000000
334, 0.000000
335, 0.000000
336, 0.712369
337, 3.207413
338, 0.000000
339, 0.494482
340, 0.000000
341, 0.011229
342, 0.808568
343, 0.000000
344, 0.000000
345, 0.000000
346, 0.793552
347, 2.930430
348, 0.605297
349, 0.398697
350, 0.000000
351, 0.000000
352, 0.776582
353, 0.000000
354, 0.000000
355, 0.000000
356, 0.490105
357, 1.982097
358, 0.000000
359, 0.494427
360, 0.000000
361, 0.101459
362, 1.286814
363, 0.000000
364, 0.000000
365, 0.000000
366, 2.084928
367, 1.182054
368, 0.000000
369, 0.962911
370, 0.000000
371, 0.000000
372, 1.305724
373, 0.000000
374, 0.000000
375, 0.000000
376, 1.270223
377, 2.289771
378, 2.543236
379, 1.040238
380, 0.807952
381, 0.247072
382, 1.446689
383, 0.000000
384, 1.399101
385, 0.000000
386, 0.532716
387, 2.304010
388, 0.000000
389, 0.557777
390, 0.000000
391, 0.057608
392, 1.289114
393, 0.000000
394, 0.253579
395, 0.000000
396, 1.387756
397, 1.846322
398, 0.533237
399, 0.731605
400, 1.232058
401, 0.470970
402, 0.746927
