index, f_val
173, 0.105655
174, 2.825738
175, -0.322646
176, 1.180487
177, -0.023423
178, 1.050462
179, 0.682728
180, 0.184608
181, 0.212729
182, 0.683111
183, 0.333417
184, 0.407970
185, -0.008991
186, 0.564561
187, -0.018603
188, 0.376394
189, 0.477931
190, 0.468073
191, 0.255753
192, 0.571800
193, -0.067091
194, 0.348245
195, -0.072295
196, 0.537959
197, 0.489916
198, 0.669419
199, 0.428677
200, 0.562143
201, 0.255886
202, 0.521961
203, -0.416834
204, 0.810952
205, -0.043677
206, 0.188002
207, 0.825168
208, 0.022428
209, 0.331975
210, 0.139207
211, 0.266895
212, 0.474351
213, -0.378543
214, 0.268645
215, -0.120719
216, 0.192759
217, 0.696436
218, 0.316027
219, 0.228549
220, 0.264436
221, 0.279609
222, 0.413283
223, -0.378148
224, 0.293546
225, -0.239955
226, 0.252635
227, 0.803646
228, 0.086589
229, 0.241485
230, 0.488219
231, 0.281001
232, 0.389637
233, -0.529298
234, 0.013288
235, -0.190776
236, 0.063381
237, 0.961167
238, 0.400239
239, 0.358612
240, 0.153296
241, 0.294612
242, 0.520680
243, -0.381428
244, 0.312966
245, -0.094799
246, 0.055997
247, 0.703556
248, 0.693866
249, 0.556495
250, 0.087037
251, 0.251121
252, 0.640624
253, -0.182666
254, 0.228102
255, -0.122173
256, 0.279700
257, 0.323695
258, 0.188973
259, 0.653569
260, 0.247869
261, 0.180209
262, 0.982117
263, -0.398288
264, 0.188553
265, -0.249556
266, 0.008141
267, 0.604776
268, 0.016365
269, 0.769669
270, 0.901420
271, 0.111561
272, 1.157721
273, -0.989715
274, 0.633698
275, -0.437701
276, 0.131567
277, 0.896457
278, 0.639136
279, 0.764378
280, 0.354303
281, 0.025432
282, 1.212211
283, -1.485183
284, 1.658345
285, -0.771885
286, 0.234056
287, 1.348397
288, 0.264610
289, 0.423314
290, 0.405895
291, 0.042202
292, 1.116192
293, -1.597695
294, 3.936625
295, -1.177443
296, 0.094195
297, 1.731662
298, 0.211458
299, 0.558240
300, 0.047661
301, 0.042189
302, 1.014685
303, -1.715482
304, 3.620623
305, -1.351254
306, 0.165586
307, 2.714217
308, 0.192244
309, 0.507653
310, 0.248380
311, 0.028256
312, 1.012022
313, -1.774065
314, 3.330949
315, -1.412599
316, 0.461884
317, 3.029835
318, 0.102186
319, 0.550593
320, 0.091740
321, 0.000040
322, 0.994112
323, -1.799906
324, 3.014547
325, -1.459079
