index, f_val
143, -3.856604
144, -3.465935
145, -3.968747
146, -0.000000
147, -0.000000
148, -0.083062
149, -0.000000
150, -1.271459
151, -0.086865
152, -0.000000
153, -2.563874
154, -3.856131
155, -4.369623
156, -0.000000
157, -0.000000
158, -1.246098
159, -0.000000
160, -2.801481
161, -0.342777
162, -0.000000
163, -0.636966
164, -4.020101
165, -3.399214
166, -0.000000
167, -0.000000
168, -0.000000
169, -0.000000
170, -1.389193
171, -0.708352
172, -0.000000
173, -0.000000
174, -2.730842
175, -1.003521
176, -0.000000
177, -0.092989
178, -0.000000
179, -0.000000
180, -0.295180
181, -1.004950
182, -0.000000
183, -0.000000
184, -0.394269
185, -0.027965
186, -0.000000
187, -0.073855
188, -0.426395
189, -0.000000
190, -0.000000
191, -1.208199
192, -0.000000
193, -0.152093
194, -0.000000
195, -0.224857
196, -0.000000
197, -0.000000
198, -0.000000
199, -0.000000
200, -0.000000
201, -1.208831
202, -0.000000
203, -0.944944
204, -0.000000
205, -0.135847
206, -0.000000
207, -0.000000
208, -0.025407
209, -0.000000
210, -0.000000
211, -1.260838
212, -0.000000
213, -0.858139
214, -0.000000
215, -0.375471
216, -0.000000
217, -0.000000
218, -0.358008
219, -0.000000
220, -0.000000
221, -1.320896
222, -0.000000
223, -0.857245
224, -0.283688
225, -0.746327
226, -0.000000
227, -0.000000
228, -0.000000
229, -0.000000
230, -0.000000
231, -1.327473
232, -0.000000
233, -1.199895
234, -0.012842
235, -0.593368
236, -0.000000
237, -0.000000
238, -0.000000
239, -0.000000
240, -0.000000
241, -1.391775
242, -0.000000
243, -0.864680
244, -0.000000
245, -0.294852
246, -0.000000
247, -0.000000
248, -0.786040
249, -0.000000
250, -0.139168
251, -1.186320
252, -0.000000
253, -0.414096
254, -0.000000
255, -0.379993
256, -0.000000
257, -0.000000
258, -0.000000
259, -0.000000
260, -0.000000
261, -0.851325
262, -0.000000
263, -0.902900
264, -0.182221
265, -0.776189
266, -0.027330
267, -0.000000
268, -0.018539
269, -0.000000
270, -0.000000
271, -0.527023
272, -0.000000
273, -2.243639
274, -0.612417
275, -1.361373
276, -0.441661
277, -0.000000
278, -0.000000
279, -0.000000
280, -0.000000
281, -0.120145
282, -0.000000
283, -3.366841
284, -1.602653
285, -2.400781
286, -0.785712
287, -0.000000
288, -0.299761
289, -0.000000
290, -0.000000
291, -0.199365
292, -0.000000
293, -3.621900
294, -3.804423
295, -3.662183
296, -0.316206
297, -0.000000
298, -0.239548
299, -0.000000
300, -0.000000
301, -0.199306
302, -0.000000
303, -3.888918
304, -3.499033
305, -4.202785
306, -0.000000
307, -0.000000
308, -0.000000
309, -0.000000
310, -0.000000
311, -0.133482
312, -0.000000
313, -4.021723
314, -3.219087
315, -4.393583
316, -0.000000
317, -0.000000
318, -0.115760
319, -0.000000
320, -0.146689
321, -0.000189
322, -0.000000
323, -4.080305
324, -2.913310
325, -4.538151
326, -0.000000
327, -0.000000
328, -0.000000
329, -0.000000
330, -0.000000
331, -0.036911
332, -0.000000
333, -4.052882
334, -3.175146
335, -4.571478
336, -0.000000
337, -0.000000
338, -0.103650
339, -0.000000
340, -0.530402
341, -0.000000
342, -0.000000
343, -3.707171
344, -2.997452
345, -4.117214
346, -0.000000
347, -0.000000
348, -0.000000
349, -0.000000
350, -0.524037
351, -0.089992
352, -0.000000
353, -2.926873
354, -3.122074
355, -3.045142
356, -0.000000
357, -0.000000
358, -0.178006
359, -0.000000
360, -1.543600
361, -0.000000
362, -0.000000
363, -0.314223
364, -3.703740
365, -3.463853
366, -0.000000
367, -0.000000
368, -0.211901
369, -0.000000
370, -0.178401
371, -0.017743
372, -0.000000
373, -0.998364
374, -1.720865
375, -1.968055
376, -0.000000
377, -0.000000
378, -0.000000
379, -0.000000
380, -0.000000
381, -0.000000
382, -0.000000
383, -1.653639
384, -0.000000
385, -1.310257
386, -0.000000
387, -0.000000
388, -1.492552
389, -0.000000
390, -0.398475
391, -0.000000
392, -0.000000
393, -0.681741
394, -0.000000
395, -1.203143
396, -0.000000
397, -0.000000
398, -0.000000
399, -0.000000
400, -0.000000
401, -0.000000
402, -0.000000
403, -2.187250
404, -0.000000
405, -0.000000
406, -1.655477
407, -0.000000
408, -0.000000
409, -0.000000
410, -0.000000
411, -0.000000
412, -0.000000
413, -0.857485
414, -0.000000
415, -0.000000
416, -0.875835
417, -0.103642
418, -7.279693
419, -0.000000
420, -1.529947
421, -0.470613
422, -0.000000
423, -0.000000
424, -0.479404
425, -1.463403
426, -0.000000
427, -0.000000
428, -0.000000
429, -0.000000
430, -0.000000
431, -0.238396
432, -0.000000
433, -1.711351
434, -0.051144
435, -0.000000
436, -1.145925
437, -0.000000
438, -0.000000
439, -0.000000
440, -0.026816
441, -0.502285
442, -0.000000
443, -0.000000
444, -0.056217
445, -0.000000
446, -0.251238
447, -0.627028
448, -3.498333
449, -0.000000
450, -0.631642
451, -0.513079
452, -0.318641
453, -0.000000
454, -0.000000
455, -0.000000
456, -0.027287
457, -0.853499
458, -0.000000
459, -0.000000
460, -0.000000
461, -0.118297
462, -0.190238
463, -0.000000
464, -0.000000
465, -0.000000
466, -0.306347
467, -1.438474
468, -2.688758
469, -0.000000
470, -1.500281
471, -0.239140
472, -0.333434
473, -0.000000
474, -0.000000
475, -0.000000
